disease_name,introduction,symptoms,causes,diagnosis,management
Asthma,,"Asthma symptoms can vary in severity with time, can come and go, there may be good and bad periods. Asthma is characterized by:",The exact cause of asthma is yet not known. But there are certain risk factors that are associated with asthma. It is probably caused by interplay of hereditary and environmental factors.,Medical History:  Doctor may also ask:,"Medications: Medicines in asthma is generally given through the inhaled route. “Metered dose” and “dry powder” inhalers are equally effective for long term use, the “nebulized” form being generally used during acute attacks. Inhaling a drug is an effective way of taking an asthma medicine as it goes straight to the lungs, with very little ending up elsewhere in the body. There are two types of inhaled medications. Since asthma is an inflammatory disease, preventer medication should not be discontinued without medical advice.,“Airway-opening medication or Quick-Relief” (Reliever) inhaler: The inhaler usually contains a short-acting beta 2-agonist. It works by relaxing the muscles surrounding the narrowed airways. Examples of reliever medicines include salbutamol, levo-salbutamol and terbutaline. They are utilized in stopping asthma attacks.,“Controller medication” (Preventer) inhaler: It works to reduce the amount of inflammation and ‘twitchiness’ in the airways and prevent asthma attacks occurring. Examples of preventer inhalers are beclomethasone, budesonide, fluticasone and mometasone; often combination of these drugs with long-acting bronchodilators like salmeterol and formoterol are used as preventers to stop asthma attacks from starting and thus protect lung function.,Short courses of corticosteroid and other drugs (oral or injectable) may be required during acute attacks and are to be used after medical advice only.,An asthma patient should learn from the care-provider the correct method of using the inhalation devices (metered-dose inhalers, dry-powder inhalers, spacers, etc) used for the medication and always carry the quick-reliever medication with him/her."
Airbag Eye Injury,"Airbag Eye Injury varying from minor abrasions to traumatic hyphaema and secondary glaucoma may result from automobile airbags. Airbags reduce the risk of injury and death from motor vehicle accident, however, injuries attributed to airbag use have been reported. There may be damage to virtually every structure of the eye and adnexa. Most injuries are self- limited and do not significantly affect vision, some result in severe visual loss. Damage to anterior structures of eye is commoner than injury to posterior segment. Posterior segment trauma is generally more visually devastating because of the involvement of optic nerve or retina.",Symptoms of automobile airbag trauma varies from the structure of eye and adnexa affected. Eye injuries may lead to,A motor vehicle crash may produce four collisions,Diagnosis depends upon the history of motor vehicle accident and clinical findings attributable to the eye injury sustained due to airbag.,Management depends upon the type and severity of injury caused by airbag.
Anthrax,Anthrax,"Anthrax infection occurs in three forms: cutaneous, inhalation, and gastrointestinal, depending on the mode of transmission. Cutaneous anthrax accounts for most of the cases in endemic situation.","Anthrax is caused by gram-positive, rod-shaped bacteria known as Bacillus anthracis, an encapulated and spore-forming bacillus.","Laboratory confirmation is made by the demonstration of B. anthracis from the blood, skin lesions or respiratory secretions by direct polychrome methylene blue stained smears, although it is rapid and results are available in 2-3 hours, it is not specific.",Anthrax responds well to antibiotic treatment. Antibiotics must be prescribed and taken with medical advice. Nobody should attempt to use antibiotics or any other drugs to treat or protect themselves without first getting medical advice.
Amoebiasis,Amoebiasis,"The clinical spectrum ranges from asymptomatic infection, diarrhoea and dysentery to fulminant colitis and peritonitis as well as extra-intestinal amoebiasis.","Amoebiasis is caused by parasite Entamoeba histolytica. Several protozoan species in the genus Entamoeba colonize humans, but not all of them are associated with disease.  It exists in two forms- Vegetative (trophozoite) and cystic forms (cyst). Trophozoites multiply and encyst in the colon. The cysts are excreted in stool and are infective to humans. Cysts remain viable and infective for several days in faeces, water, sewage and soil in the presence of moisture and low temperature.","Entamoeba histolytica must be differentiated from other intestinal protozoa. Microscopic identification of cysts and trophozoites in the stool is the common method for diagnosing E. histolytica. Differentiation is based on morphologic characteristics of the cysts and trophozoites.,In addition, E. histolytica trophozoites can also be identified in aspirates or biopsy samples obtained during colonoscopy or surgery.","For symptomatic intestinal infection and extra intestinal disease, treatment with antiamoebic drugs should be taken with consultation of a physician. Asymptomatic patients infected with E. histolytica should also be treated with antiamoebic drugs, because they can infect others and because 4%–10% develop disease within a year if left untreated."
Atherosclerosis,Atherosclerosis is a disease in which plaque builds up inside   arteries. Arteries are blood vessels that carry oxygen-rich blood to   heart and other parts of your body.,"Atherosclerosis usually doesn't cause signs and symptoms until it severely narrows or totally blocks an artery. Many people don't know they have the disease until they have a medical emergency, such as   heart attack or stroke.","The exact cause of atherosclerosis isn't known. However, studies show that atherosclerosis is a slow, complex disease that may start in childhood. It develops faster as you age.",Physical Exam,"Management for atherosclerosis may include heart-healthy lifestyle changes, medicines, and medical procedures or surgery. The goals of treatment include:"
Adult Inclusion Conjunctivitis,"Adult inclusion conjunctivitis or Paratrachoma results due to infection by obligate intracellular bacterium, Chlamydia trachomatis (serotypes D to K), which causes chronic follicular conjunctivitis (follicular conjunctivitis lasting for more than 16- 28 days). These organisms infect the epithelium of mucoid surfaces and were once identified as the trachoma-inclusion conjunctivitis agents (TRIC agents). These organisms can also infect a neonate during birth and may lead to neonatal conjunctivitis.",Adult inclusion conjunctivitis presents as a unilateral (less commonly bilateral) affliction of eye.,"Chlamydia trachomatis causes trachoma (serotypes A, B, Ba and C) and also genital infections (serotypes D to K) and disease Lymphogranuloma venereum (serotypes L1 to L3).",Diagnosis of adult inclusion conjunctivitis depends upon clinical presentation and laboratory diagnosis.,Management should be carried out under medical supervision.
Atopic Keratoconjunctivitis,"Atopic keratoconjunctivitis (AKC) is a relatively uncommon, but potentially blinding ocular (eye) disease, which typically affects young people with atopic dermatitis.  AKC is a severe chronic inflammatory disease of the conjunctiva which may have dramatic consequences for visual function.","Unlike SAC, symptoms of AKC are usually present year-round, though a significant number of patients may have seasonal exacerbations.",Atopic keratoconjunctivitis is a chronic allergic conjunctivitis and may be due to:,Diagnosis of AKC is based upon typical clinical features.,Management should be carried out under medical supervision.
Avian Influenza In Humans,"Avian influenza (AI) is an infectious viral disease of birds, commonly known as bird flu. Wild water fowl such as ducks and geese are mostly affected by AI, but often show no apparent signs of illness. Poultry birds are also susceptible to AI infection that can cause large outbreaks and epidemics in poultry.",Signs and symptoms of Avian influenza A virus infections in humans-,Disease is caused by avian influenza virus belongs to the Influenza A genus of the orthomyxoviridae family.,Diagnosis of Avian influenza is suspected in all persons presenting with acute febrile respiratory illness in those countries or territories where avian influenza A viruses have been identified in animal populations.,Hospital care is recommended in initial stages of the disease (such as Human infection with an A(H5N1) to monitor clinical status. After discharge from hospital appropriate instructions for household members on personal hygiene and infection control measures should be provided.
Astigmatism,"Astigmatism is a type of refractive error wherein the refraction varies in different meridian. As a result, the light rays entering the eye cannot converge to a point focus but form focal lines.",Symptoms vary according to the degree and type of regular astigmatism and may include,"Astigmatism may be natural, traumatic following a wound or surgically induced as is seen following cataract surgery. Tight sutures after surgery further accentuate astigmatism.",Diagnosis of astigmatism depends upon the symptoms and clinical features.,Management should be carried out under medical supervision.
Aphakia,Aphakia is a condition in which crystalline lens of the eye is not present in its normal position of pupillary area. Either there is no crystalline lens inside the eye or the lens is subluxated or luxated. This induces a refractive state which is not a refractive error in true sense. An emmetropic (normal refraction) eye or one having low grade ametropia (refractive error) becomes extremely hypermetropic after cataract surgery. A previously emmetropic eye requires a correction of about 10 to 11 dioptres (D) in spectacle when worn in the usual position.,Aphakia causes symptoms such as,Causes of aphakia are,Diagnosis depends upon the symptoms and signs of aphakia.,Management should be carried out under medical supervision.
Anisometropia,"Anisometropia is an optical state with unequal refraction of the two eyes. The amount of spherical refractive error (myopia or hypermetropia) is usually about the same for both the eyes in most of the people. Generally, anisometropia is considered to exist if the refraction differs by 1.0 dioptres (D) or more for the two eyes. The measuring unit for refractive error is dioptre (D), which is defined as the reciprocal of the focal length in meters. Anisometropia is the most insidious refractive condition because it is often asymptomatic. The term antimetropia is used when one eye is myopic and the other is hypermetropic.",Anisometropia occurs because of uncorrected unequal refractive error between fellow eyes. Uncorrected anisometropia produces,Anisometropia may be congenital or acquired.,Diagnosis depends upon retinoscopic examination in patients with defective visual acuity.,Management should be carried out under medical supervision.
Aniseikonia,"Aniseikonia is defined as a difference in the shape and/or size of images presented to the visual cortex by two eyes. The brain is unable to fuse two images, resulting in an extra ghost image or diplopia. Aniseikonia is often produced due to significant amount of anisometropia, especially when it is corrected by spectacles instead of contact lenses.  It is difficult to detect aniseikonia based on history and clinical examination. Aniseikonia precludes fusion of images when the degree is large. Despite this, it is rare that a patient volunteer a difference in image size and/or shape between the two eyes. Aniseikonia is usually considered clinically significant when the image size difference is greater than 4 percent, but many patients experience distortions in spatial perception and/or uncomfortable binocular vision with differences as small as 2 percent.","Tolerance for the disease varies amongst individual patient. Some patients apparently are able to tolerate rather large aniseikonia and others suffer severe symptoms with even smaller degree. It is when difference in size of the image or meridional distortions approaches tolerance levels that the symptoms manifest. Meridional distortions are poorly tolerated, especially when they are oblique.","Aniseikonia may occur naturally or is produced secondary to correction of refractive error. Up to 7% of aniseikonia between two eyes is usually tolerated well, and it corresponds to about 3 dioptres (D) of anisometropia. The measuring unit for refractive error is dioptre (D), which is defined as the reciprocal of the focal length in meters.",Diagnosis depends upon clinical symptoms and retinoscopic examination in patients with defective visual acuity.,Management should be carried out under medical supervision.
Asbestos-Related Diseases,Asbestos-related diseases,"Repeated or prolonged inhalation of asbestos fibers may cause asbestosis (fibrosis of the lungs), pleural plaques, thickening and pleural effusion. Individuals who have been exposed (or suspect they have been exposed) to asbestos fibers on the job, through the environment, or at home via a family contact should consult their doctor whether or not they experience any symptoms. The symptoms of asbestos-related diseases may be apparent after many decades, such as;","There are six types of asbestos minerals (chrysotile, amosite, crocidolite, tremolite, anthophyllite and actinolite). All commercial forms of asbestos are carcinogenic.",A thorough physical examination is recommended with the following tests-,No specific therapy is recommended for asbestos related diseases.
Amblyopia,"Amblyopia is often defined as a difference in visual acuity of two lines or more on Snellen or equivalent chart in a child with, otherwise, healthy eyes. Amblyopia may be present any time visual acuity is reduced, and the reduction of acuity cannot be explained by findings on clinical examination, even if the difference is even one line only.","The main symptom of amblyopia is decreased foveal visual acuity. Commonly used diagnostic criteria, is the loss of visual acuity of two or more lines on the Snellen vision chart.","A distinction must be made between potentially reversible functional amblyopia and irreversible organic amblyopia. Organic amblyopia is a term used to describe visual impairment due to obvious or non obvious ocular pathology, commonly affecting retina or optic nerve. Examples of organic amblyopia are optic nerve hypoplasia, optic atrophy and foveal hypoplasia. Functional amblyopia may occur along with organic amblyopia. Functional amblyopia normally occurs in an eye that is anatomically normal.",Diagnosis of amblyopia is based mainly on measurement of visual acuity.,"Early management of amblyopia is critical for best visual acuity results. The basic strategy for treating amblyopia is to first provide a clear retinal image, and then correct ocular dominance if ocular dominance is present, as early as possible during the period of visual plasticity (birth to eight years of life)."
Ankyloblepharon,"Ankyloblepharon is defined as adhesion of the edges of upper eyelid with the lower eyelid. The eyelids maintain their integrity and identity. The condition is usually congenital but may be acquired. In congenital ankyloblepharon, the fused eyelids fail to separate completely during development of embryo. Congenital ankyloblepharon is caused by developmental arrest leading to aberration in growth at either medial or lateral canthus. It may occur as a sporadic finding or in association with chromosomal/syndromic conditions.",Patients may have symptoms such as,Congenital ankyloblepharon:,Diagnosis of ankyloblepharon is based on clinical features.,Management should be carried out under medical supervision.
Abnormal Uterine Bleeding,"Abnormal uterine bleeding (AUB) is a common problem among (non-pregnant) women in the reproductive age. Formerly, it was known as dysfunctional uterine bleeding (DUB). AUB is responsible for significant health problem and social embarrassment and it is one of the common reasons women seek health care. It has a significant impact on the quality of life for the women. Women with abnormal bleeding have a lower quality of life than the general female population.",Abnormal uterine bleeding may present as any of the following symptoms-,"International Federation of Gynecology and Obstetrics (FIGO) introduced PLAM-COEIN system of classification in 2011 to define the causes of abnormal uterine bleeding. There are 9 main categories of etiology of AUB, which are arranged according to the acronym PALM-COEIN.","Thorough history and physical examination are the preliminary components for diagnosing the cause of AUB, and also help to suggest investigations for final diagnosis and to guide options for management. Women with AUB may have multiple factors that may contribute in genesis of AUB or sometimes a pathology (such as subserosal leiomyoma) is present but not responsible for the AUB. In women of child bearing age, pregnancy and its related complications should be excluded.",The ultimate goal of any form of treatment is to reduce menstrual flow in order to improve quality of life. The two main objectives of managing acute AUB are:
Acquired Capillary Haemangioma Of Eyelid,"Acquired Capillary Haemangioma of Eyelid (Cherry haemangioma, senile haemangioma) is a common skin lesion in middle aged and older patients. Virtually, it occurs in all adults at one time or the other. The lesions may be small and may be ignored. The number of haemangiomas varies from one to two in children to even up to hundred in some elderly patients. Most commonly it affects chest or extremities, but can occasionally affect eyelids and periocular area. It varies in size from being barely visible to a dome shaped bright red swellings about 5 mm in diameter.",Solitary acquired haemangioma of the eyelid appear as distinct red to red-blue papule ranging in size from about 0.5 mm to 5 mm in size.,The acquired capillary haemangioma looks similar to mature type of congenital capillary haemangioma.,"Clinically, solitary acquired capillary haemangioma of eyelid may present as a red to red-blue papule which may range from 0.5 to 5 mm in size. Smaller lesions are red in colour and the larger ones give a bluish appearance. These may become pedunculated with cherry-like surface irregularity, hence the name cherry haemangioma. It generally moves with the skin. Localised haemangiomas are usually very compressible. It may bleed following trauma.","Most acquired capillary haemangiomas are just observed over time, since they are generally small and have no malignant potential."
Anaemia During Pregnancy (Maternal Anemia),"Anaemia during pregnancy is one of the important factors associated with a number of maternal and foetal complications. It decreases the woman’s reserve to tolerate bleeding either during or after child birth and makes prone to infections. Anaemia during pregnancy also has been associated with increased risk of intra uterine growth restriction, premature delivery, low birth weight (LBW) and maternal and child mortality.","Early symptoms of anemia are usually nonspecific such as fatigue, weakness, light-headedness, mild dyspnea during exertion.","The common causes of anemia during pregnancy are nutritional disorders and infections. Among nutritional disorders iron deficiency is the most common cause of anaemia globally. Other conditions such as folate, vitamin B12 and vitamin A deficiency, chronic inflammation, parasitic infections, and inherited disorders can all cause anemia.","Diagnosis of anemia during pregnancy is done by the symptoms, clinical signs and investigations.","As the need for iron increases during pregnancy, prophylactic oral iron therapy is given to all pregnant women with normal laboratory values. All pregnant women at 14-16th week (second trimester) should be given one tablet of Albendazole 400mg – single dose. In the anemic mother management and form of therapeutic iron supplementation depend on the duration of pregnancy and severity of anemia."
Antepartum Hemorrhage (Bleeding In Late Pregnancy),"Antepartum haemorrhage (APH) is defined as bleeding from or in to the genital tract, occurring from 24+0 weeks of pregnancy and prior to the birth of the baby. APH complicates 3–5% of pregnancies; and is a leading cause of perinatal and maternal mortality worldwide.",Symptoms of antepartum haemorrhage (APH) consist of vaginal bleeding in late pregnancy and before delivery. Along with vaginal bleeding other symptoms may be-,"The causes of APH include: placenta praevia, placental abruption and local causes (such as bleeding from the vulva, vagina or cervix). Abruption is more likely to be related to conditions occurring during pregnancy and placenta praevia is more likely to be related to conditions existing prior to pregnancy.",Diagnosis of antepartum hemorrhage is first based on clinical suspicion. Initially clinical assessment of women presenting with APH is done by medical person to establish urgency of intervention required to manage maternal or fetal compromise.,"Management of APH depends on various factors. These are-  amount and cause of APH, condition of mother and foetus, duration of pregnancy and presence of associated complication. Each pregnant woman with APH is assessed on an individual basis and according to that clinical judgment is applied."
Acute Encephalitis Syndrome,"Acute encephalitis syndrome (AES) is a serious public health problem in India. It is characterized as acute-onset of fever and a change in mental status (mental confusion, disorientation, delirium, or coma) and/or new-onset of seizures in a person of any age at any time of the year. The disease most commonly affects children and young adults and can lead to considerable morbidity and mortality.",Acute Encephalitis Syndrome (AES) is a general description of the clinical presentation of a disease characterized by high fever altered consciousness mostly in children below 15 years of age.,"Acute Encephalitis Syndrome (AES) has a very complex etiology. Causative agents of AES include a wide variety of viruses, bacteria, protozoa, fungi, and non- infectious agents. While Japanese encephalitis virus (JEV) is a leading cause of acute encephalitis syndrome in India (ranging from 5-35%), the etiology in a large number of cases however remains unidentified. In India during 2018, 15% of cases of AES were found positive for infection due to JEV.","The National Vector Borne Disease Control Programme in India has set up country wide surveillance for AES through sentinel sites with a focus on detecting Japanese encephalitis (JEV). In the sentinel surveillance network, AES/JE is diagnosed by lgM Capture ELISA, and virus isolation is done in National Reference Laboratory.",Management of AES is essentially symptomatic. First line of management should be started at grass root level. To reduce severe morbidity and mortality it is important to identify early warning signs and refer patient to higher health facility.
Amaurosis Fugax,"Amaurosis Fugax or transient monocular blindness (TMB) refers to transient brief blindness, blurring, fogging, or dimming of vision, varying in duration from few seconds to minutes or even hours in some cases. The duration of visual impairment is brief usually less than fifteen minutes and rarely exceeding thirty minutes. The term Amaurosis fugax has been used not only for monocular condition, but also for the transient loss of vision in both eyes (less common). Most of the patients are affected for about one to five minutes only. Generally, recovery is in the same pattern as the visual loss, although usually more gradual. Amaurosis is also known as blackout.",Symptoms vary according to the type of Amaurosis depending upon visual loss occurrence:,The causes of Amaurosis fugax are divided into five groups,Diagnosis depends upon clinical history and examination.,Management
Abducens Nerve Palsy,"Abducens (or Abducent) nerve Palsy or Cranial nerve six palsy (CN VI) is a common neuro-ophthalmic disorder. Since CN VI has a long intracranial course, it may be affected by multiple aetiologies. It may be unilateral or bilateral condition.",Symptoms include,The causes of Abducens nerve palsy are varied.,Patients with CN VI paresis present with esotropia (inward deviation) of the affected eye. Outward movement beyond primary position or midline is lost or reduced. Patients presenting with partial or mild palsy adopt posture with head turn toward the affected side to minimise diplopia by keeping the affected eye adducted (inward movement). Severe cases may shut the eye or cover it to avoid diplopia.,"Like other cranial nerve palsies, root cause of palsy should be treated."
Attention-Deficit Hyperactivity Disorder,Attention Deficit/Hyperactivity Disorder (ADHD) is the most common childhood behavioural disorder. It is a chronic disorder which may cause impairment into adolescence and adulthood.,"Most children with ADHD are referred for impairment in family, academic, and/or peer relationship functioning. Symptoms of over-activity, inattention, and impulsivity drive this impairment even later.",The aetiology of ADHD is yet to be determined.,Systemic features,Behavioural and pharmacologic interventions are used in the management of ADHD.
